Happy_Words,Sad_Words
کیفیت,غذا
بود.,کیفیت
غذا,سفارش
خوشمزه,اصلا
ممنون,بود.
سفارش,سرد
تازه,پیتزا
واقعا,واقعا
طعم,بد
پیک,مرغ
پیتزا,ارسال
سریع,مزه
گرم,یه
ارسال,تحویل
بود،,سیب
موقع,پایین
بسته,طعم
یه,بودم
اسنپ,دیگه
سرد,نداشت
سیب,قیمت
ممنونم,دادم
راضی,پیک
بودم,بود،
سس,ساعت
خوش,رستوران
تحویل,نان
حجم,مونده
دستم,سس
قیمت,حجم
مرغ,بسته
نان,زمینی
تشکر,نون
داغ,تازه
مزه,گوشت
فود,پنیر
زمان,ساندویچ
رستوران,خشک
رسید.,…
سلام,راضی
زمینی,شیرینی
زود,نبود.
ساندویچ,تاخیر
…,اسنپ
اصلا,ریخته
چی,سالاد
باشه,سوخته
العاده,کباب
یکم,کیک
مرسی,سلام
